iso,economy,cpi,account_ownership,internet_use
ARE,UAE,68,85.74,100.0
QAT,Qatar,59,65.88,99.7
SAU,Saudi Arabia,59,74.32,100.0
MYS,Malaysia,50,88.37,98.0
OMN,Oman,55,73.6,95.3
BHR,Bahrain,53,82.61,100.0
JOR,Jordan,49,47.12,92.5
KWT,Kuwait,46,79.84,99.7
SEN,Senegal,45,55.96,
BEN,Benin,45,48.61,
CIV,Cote d'Ivoire,45,50.76,
XKX,Kosovo,44,58.01,
BFA,Burkina Faso,41,36.11,
ALB,Albania,42,44.17,83.1
MDV,Maldives,38,79.55,84.7
MAR,Morocco,37,44.37,91.0
TUN,Tunisia,39,36.85,
KAZ,Kazakhstan,40,81.11,93.4
GMB,Gambia,38,33.01,
IDN,Indonesia,37,51.76,
DZA,Algeria,34,44.1,
SLE,Sierra Leone,33,28.85,
TGO,Togo,32,49.61,
DJI,Djibouti,31,12.27,
NER,Niger,34,11.69,
TUR,Turkiye,34,74.09,87.3
UZB,Uzbekistan,32,44.13,89.0
AZE,Azerbaijan,22,46.26,89.0
EGY,Egypt,30,27.44,
MRT,Mauritania,30,23.46,
GAB,Gabon,27,66.09,
IRQ,Iraq,26,18.57,81.7
MLI,Mali,27,43.5,
PAK,Pakistan,27,20.98,
CMR,Cameroon,26,51.65,
GIN,Guinea,28,30.44,
KGZ,Kyrgyzstan,25,45.09,88.5
NGA,Nigeria,26,45.32,
UGA,Uganda,26,65.91,
BGD,Bangladesh,23,52.81,
LBN,Lebanon,22,20.7,83.5
IRN,Iran,23,89.98,
TCD,Chad,21,23.65,
MOZ,Mozambique,25,49.49,
COM,Comoros,21,34.25,
TJK,Tajikistan,19,39.49,
TKM,Turkmenistan,17,40.58,
AFG,Afghanistan,17,9.65,
SYR,Syria,12,23.25,
SDN,Sudan,15,15.27,
LBY,Libya,13,65.67,88.5
YEM,Yemen,13,11.9,
SOM,Somalia,9,38.66,
